State n. |  orientation | Speed | Steer | location(x,y) |NearPoint  | distance |controlerlocation 
[60.0, 7.5]  |   28.197306602660078  |[31.913738250732422, 4.9999998807907104] |[60.0, 7.5] | 27.072329101562502 | [30.  37.5 45.  52.5 60. ] | [60.0, 7.5]
50    |-5.949492055023341   | 22.949211530524497  |-2.399749755859375   |[10.125525951385498, 72.98822784423828]  |[90.0, 7.5]  |   16.886231208239398  |[73.36255836486816, 10.387964725494385] |[60.0, 7.499999999999998] | 6.398248856020948 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
51    |-5.784380490298303   | 22.850888771503385  |-2.999752163887024   |[10.387964725494385, 73.36255836486816]  |[90.0, 7.5]  |   16.550767813110546  |[73.74778938293457, 10.629467248916626] |[60.0, 7.499999999999998] | 6.362011641092817 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
52    |-5.556638104811667   | 22.72147014676006  |-3.599756956100464   |[10.629467248916626, 73.74778938293457]  |[90.0, 7.5]  |   16.205244956662614  |[74.14397811889648, 10.84612226486206] |[60.0, 7.499999999999998] | 6.316774907190919 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
53    |-5.276066773771276   | 22.55991038282471  |-4.199765920639038   |[10.84612226486206, 74.14397811889648]  |[90.0, 7.5]  |   15.848518178041147  |[74.55050468444824, 11.033924579620361] |[60.0, 7.499999999999998] | 6.262209224764509 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
54    |-4.939641134392445   | 22.36503294558753  |-4.199780821800232   |[11.033924579620361, 74.55050468444824]  |[90.0, 7.5]  |   15.48494934521672  |[74.96396255493164, 11.201517820358276] |[60.0, 7.499999999999998] | 6.238604138451699 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
55    |-4.435789734224726   | 22.28072906589892  |-4.1997963190078735   |[11.201517820358276, 74.96396255493164]  |[90.0, 7.5]  |   15.114421772190594  |[75.38383865356445, 11.348840475082397] |[60.0, 7.499999999999998] | 6.221976018464001 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
56    |-4.070239665559938   | 22.221342923085714  |-4.199814796447754   |[11.348840475082397, 75.38383865356445]  |[90.0, 7.5]  |   14.736907365972101  |[75.80927276611328, 11.474883556365967] |[60.0, 7.499999999999998] | 6.204068278358517 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
57    |-3.682929375130924   | 22.157386708423275  |-4.199835658073425   |[11.474883556365967, 75.80927276611328]  |[90.0, 7.5]  |   14.35219215700843  |[76.2396240234375, 11.578905820846558] |[60.0, 7.499999999999998] | 6.190341461378239 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
58    |-3.259095344384604   | 22.108362362065137  |-4.199857413768768   |[11.578905820846558, 76.2396240234375]  |[90.0, 7.5]  |   13.96037339145999  |[76.67391014099121, 11.660210847854614] |[60.0, 7.499999999999998] | 6.1773121213390745 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
59    |-2.834145482909661   | 22.061829004782407  |-4.199880957603455   |[11.660210847854614, 76.67391014099121]  |[90.0, 7.5]  |   13.561614820455087  |[77.1111068725586, 11.718273401260376] |[60.0, 7.499999999999998] | 6.166092783260642 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
