State n. | Speed | Steer | location(x,y) | AngularSpeed | time 
33    |24.132917573245855   |0.08702488616108894   |[4.866936922073364, 67.02748107910156]  |0.0880727767944336  |0.06538128852844238     
34    |24.13305390865803   |0.1106470450758934   |[4.853418827056885, 67.50994873046875]  |-0.05964544042944908  |0.08667659759521484     
35    |24.132390087242637   |0.13647912070155144   |[4.8411126136779785, 67.9924430847168]  |-0.02411128208041191  |0.060915470123291016     
36    |24.13227494752284   |0.09427612647414207   |[4.829796195030212, 68.47495651245117]  |-0.06956955045461655  |0.06499695777893066     
37    |24.132303856645002   |0.07444024085998535   |[4.818166792392731, 68.95746421813965]  |-0.03301543369889259  |0.06549739837646484     
38    |24.132407865280566   |0.033769626170396805   |[4.806416690349579, 69.43997192382812]  |-0.042453374713659286  |0.06530618667602539     
39    |24.132467074262596   |0.006965789943933487   |[4.794095158576965, 69.9224624633789]  |-0.01486600749194622  |0.06453418731689453     
40    |24.132501148921563   |-0.025360696017742157   |[4.781289756298065, 70.40494537353516]  |-0.009086685255169868  |0.06551957130432129     
41    |24.132472307326772   |-0.046928953379392624   |[4.767794489860535, 70.88740539550781]  |0.012044079601764679  |0.06475591659545898     
42    |24.13241030204707   |-0.06734615191817284   |[4.7536720633506775, 71.3698501586914]  |0.0212213434278965  |0.0647430419921875     
43    |24.13232667410323   |-0.07941901683807373   |[4.738853096961975, 71.85227012634277]  |0.03573541343212128  |0.09839320182800293     
44    |24.132242301057556   |-0.08839564397931099   |[4.723400950431824, 72.33466911315918]  |0.04287172108888626  |0.06683039665222168     
45    |24.132165078864407   |-0.08270513266324997   |[4.707317292690277, 72.81704330444336]  |0.05106145516037941  |0.06388497352600098     
46    |24.13214996049892   |-0.08261527866125107   |[4.690863251686096, 73.29940223693848]  |0.04828273132443428  |0.06514930725097656     
47    |24.132131040873197   |-0.080445297062397   |[4.673946142196655, 73.7817440032959]  |0.05299770459532738  |0.0772712230682373     
48    |24.132115926350554   |-0.0800730288028717   |[4.65657639503479, 74.26407241821289]  |0.05236280336976051  |0.06946325302124023     
49    |24.132107677939388   |0.11673606932163239   |[4.638710081577301, 74.74638557434082]  |0.055328868329524994  |0.06478595733642578     
50    |24.131841636785303   |0.1288653165102005   |[4.624748408794403, 75.22881698608398]  |-0.08213221281766891  |0.0653676986694336     
51    |24.13121613502592   |0.14055225998163223   |[4.6119444370269775, 75.71127319335938]  |-0.04231097176671028  |0.10837841033935547     
52    |24.131202408017785   |0.09586526080965996   |[4.5999696254730225, 76.19375038146973]  |-0.07832346111536026  |0.07084155082702637     
53    |24.131286073026196   |0.05463462322950363   |[4.5877023339271545, 76.67621994018555]  |-0.042084433138370514  |0.06566929817199707     
54    |24.131466344999495   |0.005433838814496994   |[4.574911177158356, 77.1586799621582]  |-0.034439120441675186  |0.06455278396606445     
55    |24.131514168012426   |-0.027272310107946396   |[4.561273038387299, 77.6411190032959]  |-0.005223042797297239  |0.06431722640991211     
56    |24.131485577647563   |-0.058030951768159866   |[4.546905696392059, 78.12353324890137]  |0.007090394385159016  |0.06471776962280273     
57    |24.131388916632122   |-0.0775068998336792   |[4.531726658344269, 78.60592269897461]  |0.027363067492842674  |0.06494927406311035     
58    |24.131276007017085   |-0.09282659739255905   |[4.515817761421204, 79.08828926086426]  |0.037877149879932404  |0.06639981269836426     
59    |24.13115917527243   |-0.10006479918956757   |[4.499172806739807, 79.57062721252441]  |0.05012177675962448  |0.09208345413208008     
60    |24.131064172389465   |-0.10305210947990417   |[4.481869220733643, 80.05293846130371]  |0.056033696979284286  |0.07022666931152344     
61    |24.131005648356997   |-0.09144052863121033   |[4.463949501514435, 80.53522872924805]  |0.06119227036833763  |0.06506204605102539     
62    |24.1310233747722   |-0.08556216955184937   |[4.445701539516449, 81.01750183105469]  |0.05566640570759773  |0.0646357536315918     
63    |24.13103398039328   |-0.08016671985387802   |[4.427056312561035, 81.49976348876953]  |0.05716393142938614  |0.06385135650634766     
64    |24.131039313490625   |-0.07864747196435928   |[4.4079970717430115, 81.98200607299805]  |0.05495098978281021  |0.06464958190917969     
65    |24.131035775031307   |0.13219064101576805   |[4.3884469866752625, 82.46423530578613]  |0.057019926607608795  |0.06458640098571777     
66    |24.130653949477836   |0.1428612694144249   |[4.373102307319641, 82.94660568237305]  |-0.09067404270172119  |0.06417036056518555     
67    |24.129926498779852   |0.15415573492646217   |[4.3589712381362915, 83.42900085449219]  |-0.04695635288953781  |0.09418368339538574     
68    |24.129925334200355   |0.1052054762840271   |[4.345714449882507, 83.91141891479492]  |-0.08560750633478165  |0.06794452667236328     
69    |24.130020142465337   |0.06356742233037949   |[4.332133769989014, 84.39382743835449]  |-0.04628651589155197  |0.07974553108215332     
70    |24.13023150757873   |0.010995324701070786   |[4.318059265613556, 84.8762264251709]  |-0.04024099186062813  |0.06661462783813477     
71    |24.130295250058126   |-0.02959582954645157   |[4.303112745285034, 85.35860443115234]  |-0.008412587456405163  |0.06437015533447266     
72    |24.130260390315698   |-0.06531566381454468   |[4.287289679050446, 85.84095001220703]  |0.008192725479602814  |0.06397390365600586     
73    |24.130142646234635   |-0.0881514698266983   |[4.270525515079498, 86.32326316833496]  |0.030509885400533676  |0.06324958801269531     
74    |24.129987320083462   |-0.10509621351957321   |[4.252918601036072, 86.80553817749023]  |0.04320797324180603  |0.08052682876586914     
75    |24.129845896330146   |-0.11343337595462799   |[4.234484016895294, 87.28778266906738]  |0.056498829275369644  |0.06442999839782715     
76    |24.129722657075085   |-0.11165205389261246   |[4.215302407741547, 87.7699966430664]  |0.06357583403587341  |0.09677004814147949     
77    |24.129672844167086   |-0.10966725647449493   |[4.1955389976501465, 88.2521858215332]  |0.0656149759888649  |0.06453800201416016     
78    |24.129640372858745   |-0.08950617164373398   |[4.175190091133118, 88.7343521118164]  |0.06856898218393326  |0.06418013572692871     
79    |24.129712483389007   |-0.08469127118587494   |[4.154641270637512, 89.21651268005371]  |0.057257093489170074  |0.06383156776428223     
